eng_no,personnel_no,standard_chargeout_rate
2001920365,14523,210
2001920365,14524,196
2001920365,14525,274
2001920365,14526,388
2001920365,14528,318
2001920365,14529,388
2001920365,14534,478
2001920365,14536,148
2002040046,14525,274
2002040046,14532,196
2002040046,14533,288
2002040046,14534,478
2002040046,14535,210
2002040046,14536,148
2002055111,14525,256
2002055111,14530,196
2002055111,14531,210
2002055111,14537,388
2002059395,14534,478
2002059395,14535,210
2002059395,14536,148
2002059395,14537,388
3000512342,14523,210
3000512342,14525,256
3000512342,14527,210
3000512342,14533,288
3000512342,14534,478
